model,epoch,accuracy,loss,val_accuracy,val_loss
lr_1E-3__loss_catcrossent__met_acc,2,0.8251184821128845,0.44784101843833923,0.8632168769836426,0.3320523202419281
lr_1E-3__loss_catcrossent__met_acc,3,0.828436017036438,0.4223099946975708,0.8757416009902954,0.36433976888656616
lr_1E-3__loss_catcrossent__met_acc,4,0.8597156405448914,0.36372411251068115,0.880685567855835,0.30957701802253723
lr_1E-3__loss_catcrossent__met_acc,5,0.8265402913093567,0.43064770102500916,0.8872775435447693,0.2910984754562378
lr_1E-3__loss_catcrossent__met_acc,6,0.8729857802391052,0.3389739394187927,0.8849703073501587,0.280195951461792
lr_1E-3__loss_catcrossent__met_acc,7,0.8601895570755005,0.33833906054496765,0.8731048107147217,0.31330031156539917
lr_1E-3__loss_catcrossent__met_acc,8,0.8682464361190796,0.34318551421165466,0.8760712146759033,0.3089529871940613
lr_1E-3__loss_catcrossent__met_acc,9,0.8611374497413635,0.35549479722976685,0.8773896098136902,0.27936139702796936
lr_1E-3__loss_catcrossent__met_acc,10,0.8658767938613892,0.33036625385284424,0.8994726538658142,0.26687073707580566
lr_1E-3__loss_catcrossent__met_acc,11,0.8682464361190796,0.33188849687576294,0.8658536672592163,0.3246553838253021
lr_1E-3__loss_catcrossent__met_acc,12,0.8772512078285217,0.3121863603591919,0.8549769520759583,0.46290501952171326
lr_1E-3__loss_catcrossent__met_acc,13,0.8710900545120239,0.3064712882041931,0.8862887024879456,0.28130829334259033
lr_1E-3__loss_catcrossent__met_acc,14,0.8919431567192078,0.2971246540546417,0.8974950313568115,0.2724951207637787
lr_1E-3__loss_catcrossent__met_acc,15,0.8829383850097656,0.3120497167110443,0.9054054021835327,0.25212445855140686
lr_1E-3__loss_catcrossent__met_acc,16,0.8706161379814148,0.3384305238723755,0.8734344244003296,0.3298231363296509
lr_1E-3__loss_catcrossent__met_acc,17,0.8938388824462891,0.29397401213645935,0.8889254927635193,0.27940499782562256
lr_1E-3__loss_catcrossent__met_acc,18,0.8895734548568726,0.29503753781318665,0.90177983045578,0.24758553504943848
lr_1E-3__loss_catcrossent__met_acc,19,0.8905213475227356,0.29366493225097656,0.8948583006858826,0.2855241894721985
lr_1E-5__loss_catcrossent__met_acc,0,0.6113743782043457,0.8896655440330505,0.6647989749908447,0.7901329398155212
lr_1E-5__loss_catcrossent__met_acc,1,0.6696682572364807,0.7792390584945679,0.6647989749908447,0.7408145666122437
lr_1E-5__loss_catcrossent__met_acc,2,0.6800947785377502,0.7407963871955872,0.6888595819473267,0.6996719241142273
lr_1E-5__loss_catcrossent__met_acc,3,0.7071090340614319,0.6962722539901733,0.7669742703437805,0.6585683822631836
lr_1E-5__loss_catcrossent__met_acc,4,0.7393364906311035,0.6583479046821594,0.8075148463249207,0.6312804818153381
lr_1E-5__loss_catcrossent__met_acc,5,0.750236988067627,0.6326341032981873,0.8061964511871338,0.5889273285865784
lr_1E-5__loss_catcrossent__met_acc,6,0.7876777052879333,0.5909247398376465,0.8108108043670654,0.5606124401092529
lr_1E-5__loss_catcrossent__met_acc,7,0.7862558960914612,0.5819673538208008,0.8114700317382812,0.5397436022758484
lr_1E-5__loss_catcrossent__met_acc,8,0.7890995144844055,0.5550324320793152,0.815754771232605,0.5242791771888733
lr_1E-5__loss_catcrossent__met_acc,9,0.7981042861938477,0.5328714847564697,0.8124588131904602,0.4981249272823334
lr_1E-5__loss_catcrossent__met_acc,10,0.7962085604667664,0.522837221622467,0.8137772083282471,0.49692028760910034
lr_1E-5__loss_catcrossent__met_acc,11,0.8099526166915894,0.49414265155792236,0.8200395703315735,0.47874021530151367
lr_1E-5__loss_catcrossent__met_acc,12,0.8085308074951172,0.4890546202659607,0.8253130912780762,0.45326441526412964
lr_1E-5__loss_catcrossent__met_acc,13,0.8028436303138733,0.48318207263946533,0.8325642943382263,0.44033578038215637
lr_1E-5__loss_catcrossent__met_acc,14,0.8199052214622498,0.45990413427352905,0.826631486415863,0.4513947367668152
lr_1E-5__loss_catcrossent__met_acc,15,0.8236966729164124,0.45455706119537354,0.8384970426559448,0.41406866908073425
lr_1E-5__loss_catcrossent__met_acc,16,0.8341231942176819,0.4356852173805237,0.8417930006980896,0.40523019433021545
lr_1E-5__loss_catcrossent__met_acc,17,0.8303317427635193,0.4351099133491516,0.8325642943382263,0.43783536553382874
lr_1E-5__loss_catcrossent__met_acc,18,0.8265402913093567,0.4283146858215332,0.8546473383903503,0.39343351125717163
lr_1E-5__loss_catcrossent__met_acc,19,0.8388625383377075,0.41855502128601074,0.8441001772880554,0.38321545720100403
